Name,Song_Number_X,Song_URL,Context,Meaning,Category,Confidence_Score
Charansaran,22,https://kaumaram.com/thiru/nnt0022_u.html,eyal azhindhazhin dhazhiyameyc          chinthaiva raendrunin dherisanaip ...... paduvEnOkondhavizh charaNsaraN saraNena     kumbidu purandharan padhipeRa          kunjari kuyambuyam peRaarak ...... k,paduvEnOkondhavizh charaNsaraN saraNena     kumbidu purandharan padhipeRa          kunjari kuyambuya...,divine_epithet,0.30
Charan,22,https://kaumaram.com/thiru/nnt0022_u.html,"in dherisanai paduvEnO: when will I be granted Your vision (to accomplish all the above)?kondhavizh charaN saraN saraNena: Saying that Your holy feet, immersed in bunches of flowers, are the ultimate ","kondhavizh charaN saraN saraNena: Saying that Your holy feet, immersed in bunches of flowers, are th...",divine_epithet,0.40
Charanapari,23,https://kaumaram.com/thiru/nnt0023_u.html,"c chindha: As the Lord of the white water-lily, namely the Moon, shed nectar from his crescent body,charaNapari purasurudhi konja konja: as the anklets on His feet chanted the VEdAs liltingly,kudilasa","c chindha: As the Lord of the white water-lily, namely the Moon, shed nectar from his crescent body,...",divine_epithet,0.40
Sivayokaththuruku,27,https://kaumaram.com/thiru/nnt0027_u.html,mpadi onRidu     makaLir thOthaka inpinmu yanguthal          ozhiyu mARuthe LinthuLam anpodu ...... sivayOkaththuruku njAnapa rampara thanthira     aRivi nOrkaru thangoLsi lampaNi          upaya seeth,sivayOkaththuruku njAnapa rampara thanthira     aRivi nOrkaru thangoLsi lampaNi          upaya seeth...,secondary_divine_name,0.50
Sivayokaththu,27,https://kaumaram.com/thiru/nnt0027_u.html,"d by these whores capable of changing my mind; putting an end to this debacle,theLinthu uLam anpodu sivayOkaththu uruku njAna parampara thanthira aRivinOr karuthu am koL silampaNi upaya seethaLa panga","d by these whores capable of changing my mind; putting an end to this debacle,theLinthu uLam anpodu ...",secondary_divine_name,0.50
Sivanainigar,28,https://kaumaram.com/thiru/nnt0028_u.html,"diyil aNuga: I have to reach Your exalted, venerable feet.varam aruLvAyE: Kindly grant me that boon!sivanainigar: Equal in status to Sivan,podhiyavarai munivan: was the sage from the Mount Pothikai (A","sivanainigar: Equal in status to Sivan,podhiyavarai munivan: was the sage from the Mount Pothikai (A...",secondary_divine_name,0.50
Sivappunjchem,41,https://kaumaram.com/thiru/nnt0041_u.html,(thiruchchendhUr)karikkompan thaniththangang     kudaththinpan thanaththinkaN          kaRuppunthan sivappunjchem ...... poRithOLsErkaNaikkumpaN duzhaikkumpang     kaLikkumpaN pozhikkungaN          ka,(thiruchchendhUr)karikkompan thaniththangang     kudaththinpan thanaththinkaN          kaRuppunthan ...,secondary_divine_name,0.50
Sivappanpun,41,https://kaumaram.com/thiru/nnt0041_u.html,humkaN kaLippumkoN ...... didumvElAsirappaNpung karappaNpung     kadappanthong kaliRpaNpum          sivappaNpun thavappaNpun ...... tharuvOnEthinaiththontham kuRappeNpaN     sasippeNkon gaiyitRunjum  ,didumvElAsirappaNpung karappaNpung     kadappanthong kaliRpaNpum          sivappaNpun thavappaNpun,secondary_divine_name,0.50
Sivappum,41,https://kaumaram.com/thiru/nnt0041_u.html,"....... Meaning .........karik kompam thanith thangam kudaththu inpam thanaththin kaN kaRuppum than sivappum chem poRi thOL sEr: Looking like the elephant's tusk and the matchless golden pot, their ex",karik kompam thanith thangam kudaththu inpam thanaththin kaN kaRuppum than sivappum chem poRi thOL s...,secondary_divine_name,0.50
Sivap,41,https://kaumaram.com/thiru/nnt0041_u.html,"happiness in Your eyes, Oh Lord with the spear!sirap paNpum karap paNpum kadappam thongalil paNpum sivap paNpum thavap paNpum tharuvOnE: By worshipping You the head derives its blessing, while by fold",sirap paNpum karap paNpum kadappam thongalil paNpum sivap paNpum thavap paNpum tharuvOnE: By worship...,secondary_divine_name,0.80
Sivanthu,44,https://kaumaram.com/thiru/nnt0044_u.html,erumALE.......... Meaning .........kanangaL koNda kunthaLangaLum kulainthu alainthu vinjum kaNkaLum sivanthu ayarnthu: The cloud-like wavy hair has become dishevelled; the elegant eyes are red and wea,kanangaL koNda kunthaLangaLum kulainthu alainthu vinjum kaNkaLum sivanthu ayarnthu: The cloud-like w...,secondary_divine_name,0.50
Sivantha,44,https://kaumaram.com/thiru/nnt0044_u.html,"of RAvaNan, the King of Lanka; and You are the endearing nephew of that RAmA (Lord VishNu), Oh Lord!sivantha sem sathangaiyum silampu thaNdaiyum punainthu senthil vantha kantha engaL perumALE.: Wearin",sivantha sem sathangaiyum silampu thaNdaiyum punainthu senthil vantha kantha engaL perumALE,secondary_divine_name,0.60
Sivakkunthan,49,https://kaumaram.com/thiru/nnt0049_u.html,dudaRpiNdam paruththinRing ...... kuzhalAthEuthikkumcheng kathircchinthum     prapaikkonRunj sivakkunthaN          duyarkkungkiN kiNicchempanj ...... chadisErAythazhaikkungkon Raiyaicchempon     sadai,kuzhalAthEuthikkumcheng kathircchinthum     prapaikkonRunj sivakkunthaN          duyarkkungkiN kiNic...,secondary_divine_name,0.50
Sivakkum,49,https://kaumaram.com/thiru/nnt0049_u.html,"about today in this world with my obese, fleshy body;uthikkum sem kathirc chinthum prapaikku onRum sivakkum thaNdu: instead, I wish to unite with Your reddish thaNdai (anklets) which is bright like th","about today in this world with my obese, fleshy body;uthikkum sem kathirc chinthum prapaikku onRum s...",secondary_divine_name,0.50
Siva,52,https://kaumaram.com/thiru/nnt0052_u.html,"You with love, Oh Lord, with expertise in Tamil! You are worshipped by the Supreme Deity Sankaran (SivA), Oh Great One! * The eight characteristics of God are as follows:     1. Peerless -Superiorless","You are worshipped by the Supreme Deity Sankaran (SivA), Oh Great One",secondary_divine_name,0.80
Swamina,53,https://kaumaram.com/thiru/nnt0053_u.html,El vaLar     sengazhu neer mAlai sUdiya          kondaiyil AdhAra sObaiyil ...... maruLAdhEumbargaL swAmina mOnama     emperu mAnEna mOnama          oNdodi mOgAna mOnama ...... enanALumunpuga zhEpAdi ,maruLAdhEumbargaL swAmina mOnama     emperu mAnEna mOnama          oNdodi mOgAna mOnama,secondary_divine_name,0.30
Swami,53,https://kaumaram.com/thiru/nnt0053_u.html,"aiyil maruLAdhE: and at the lovely shapes of their bodies, - I do not want to be befuddled.umbargaL swAmi namO nama: (Instead,) saying ""Oh Lord of the Celestials, I bow to You, I bow to You;emperumAnE","umbargaL swAmi namO nama: (Instead,) saying ""Oh Lord of the Celestials, I bow to You, I bow to You;e...",secondary_divine_name,0.40
Saranakkara,57,https://kaumaram.com/thiru/nnt0057_u.html,"devotees! You are the consort of the parrot-like and unblemished damsel, DEvayAnai!mucchakar parAvu saraNakkAra inithAna muththamizhai Ayum varisaikkAra: Your hallowed feet are lauded and worshipped b",mucchakar parAvu saraNakkAra inithAna muththamizhai Ayum varisaikkAra: Your hallowed feet are lauded...,divine_epithet,0.40
Sivalokaththe,59,https://kaumaram.com/thiru/nnt0059_u.html,"ndhUr!Omaththee vazhuvArkat kUr: For those who regularly perform the rites at the sacrificial pyres,sivalOkaththE tharu mangai bAlA: UmAdEvi reserves a place in the land of SivA; You are Her Son, Oh K","Omaththee vazhuvArkat kUr: For those who regularly perform the rites at the sacrificial pyres,sivalO...",secondary_divine_name,0.50
Sivarku,79,https://kaumaram.com/thiru/nnt0079_u.html,"the celestials and blessed him, Oh Lord!thiruk kanjaththanaik kaNdiththu uRak kam kutti vittum sath sivaRku anRu ap poruL konjip pakarvOnE: You reprimanded BrahmA, seated on the beautiful lotus, by ba",thiruk kanjaththanaik kaNdiththu uRak kam kutti vittum sath sivaRku anRu ap poruL konjip pakarvOnE: ...,secondary_divine_name,0.60
Saranam,85,https://kaumaram.com/thiru/nnt0085_u.html,per;sErum kanja(m) maNdu(m) uL ninRu irasam puku kaN padarntha ida(m) rampai enum thodai kaN kai am saraNam seyal vanjarai nampuvEnO: with their lotus-like rich genitals that exudes the inner eroticis,per;sErum kanja(m) maNdu(m) uL ninRu irasam puku kaN padarntha ida(m) rampai enum thodai kaN kai am ...,divine_epithet,0.30
Charanam,85,https://kaumaram.com/thiru/nnt0085_u.html,"t grand display,anju vanja asuran thiraLum kuvadu anRu adangalum venthu porinthida aNdar inthiranum charaNam puka venRa vELE: the armies of the treacherous demon SUran became scared; all those armies ","t grand display,anju vanja asuran thiraLum kuvadu anRu adangalum venthu porinthida aNdar inthiranum ...",divine_epithet,0.30
Sivanararul,90,https://kaumaram.com/thiru/nnt0090_u.html,ang kAttu          madamAtharkaL mayalin sEtRi ...... luzhalvEnOnakaiyAlmatha nuruvan theeththa     sivanAraruL suthanen RArkku          nalanEyaru Lamarsen thUrkku ...... LuRaivOnEnavamAmaNi vadamum ,luzhalvEnOnakaiyAlmatha nuruvan theeththa     sivanAraruL suthanen RArkku          nalanEyaru Lamars...,secondary_divine_name,0.50
Sivakalaigal,110,https://kaumaram.com/thiru/nnt0110_u.html,"nothings,athividham adhAy vaLarndhu: I grew up in so many wayspadhinARAy: and reached the age of 16.sivakalaigaL AgamangaL: SivA's scriptures - SivA AgamAs (rules of worship)migavumaRai Odhum anbar: a",sivakalaigaL AgamangaL: SivA's scriptures - SivA AgamAs (rules of worship)migavumaRai Odhum anbar: a...,secondary_divine_name,0.60
Saranverpi,111,https://kaumaram.com/thiru/nnt0111_u.html,ENummaRavarmA thorurathna vimalakO kanakaththi     mayilanAL puNarsecchai ...... maNimArpAmaruLnisA saranveRpi lurukiveezh vuRamikka     mayililE Riyavukra ...... vadivElApaRaikaLpE Niyaruthri kariyak,maNimArpAmaruLnisA saranveRpi lurukiveezh vuRamikka     mayililE Riyavukra,divine_epithet,0.30
Sivalokakolaipuri,119,https://kaumaram.com/thiru/nnt0119_u.html,nAyaki     thinaivana mathanilu kantha nAyaki          thiraLthana mathanila Naintha nAyaka ...... sivalOkAkolaipuri yasurarku langaL mALave     ayilayi lathanaiyu kantha nAyaka          gurupara pazh,sivalOkAkolaipuri yasurarku langaL mALave     ayilayi lathanaiyu kantha nAyaka          gurupara paz...,secondary_divine_name,0.50
Sivaloka,119,https://kaumaram.com/thiru/nnt0119_u.html,ru kuRavar madanthai nAyaki thinai vanam athanil ukantha nAyaki thiraL thanam athil aNaintha nAyaka sivalOkA: She is the damsel of the KuRavAs belonging to Mount VaLLimalai; she is VaLLi upon whom You,ru kuRavar madanthai nAyaki thinai vanam athanil ukantha nAyaki thiraL thanam athil aNaintha nAyaka ...,secondary_divine_name,0.50
Saravanaba,122,https://kaumaram.com/thiru/nnt0122_u.html,madhAlen     madhinilaike dAma lundhan ...... aruLthArAyjalamarugu pULai thumbai ...... aNisEyE     saravanaba vAmu kundhan ...... marugOnEpalakalaisi vAga mangaL ...... payilvOnE     pazhanimalai vAz,aNisEyE     saravanaba vAmu kundhan,primary_divine_name,0.70
Sivagamangal,122,https://kaumaram.com/thiru/nnt0122_u.html,"flower.saravanabavA mukundhan marugOnE: Oh SaravanabhavA, the nephew of Mukunda (Vishnu).palakalai sivAgamangaL payilvOnE: You are praised by several artistic creations and Siva AgamAs (Saivite script",palakalai sivAgamangaL payilvOnE: You are praised by several artistic creations and Siva AgamAs (Sai...,secondary_divine_name,0.50
Sivakathi,124,https://kaumaram.com/thiru/nnt0124_u.html,vadiva mEvi yiruvinai kadalu LAdi     maRaivari nanaiya kOla ...... mathuvAkamaruviya parama njAna sivakathi peRuka neeRu     vadivuRa aruLi pAtha ...... maruLvAyEthiripura meriya vEzha silaimatha ner,mathuvAkamaruviya parama njAna sivakathi peRuka neeRu     vadivuRa aruLi pAtha,secondary_divine_name,0.50
Sivaso,130,https://kaumaram.com/thiru/nnt0130_u.html,aruL ...... purivAyEthiripu rAthikaL neeRezha vEmika     mathanai yEvizhi yAlvizha vEseyum          sivaso rUpama kEsura neediya ...... thanayOnEsinama thAyvaru cUrarkaL vEraRa     amarar vAnavar vAdi,purivAyEthiripu rAthikaL neeRezha vEmika     mathanai yEvizhi yAlvizha vEseyum          sivaso rUpam...,secondary_divine_name,0.50
Sivamanthra,134,https://kaumaram.com/thiru/nnt0134_u.html,"hAgi nondhu: My worries multiplied, andmigavAdi: I was distressed.araharasi vAya vendRu: The famous SivaManthrA, Hara Hara SivAya,dhinamumninai yAmal nindRu: was never uttered by me even on a single d","araharasi vAya vendRu: The famous SivaManthrA, Hara Hara SivAya,dhinamumninai yAmal nindRu: was neve...",secondary_divine_name,0.50
Sivaya,134,https://kaumaram.com/thiru/nnt0134_u.html,"multiplied, andmigavAdi: I was distressed.araharasi vAya vendRu: The famous SivaManthrA, Hara Hara SivAya,dhinamumninai yAmal nindRu: was never uttered by me even on a single day.aRusamaya needhi ondR","araharasi vAya vendRu: The famous SivaManthrA, Hara Hara SivAya,dhinamumninai yAmal nindRu: was neve...",secondary_divine_name,0.50
Sivappap,137,https://kaumaram.com/thiru/nnt0137_u.html,"ing .........kalaviyil icchiththu irangi ninRu iru kana thanam viRkac chamaintha mangaiyar kayalkaL sivappap parinthu naNpodum inpam URi: These whores are deeply interested in carnal pleasure, standin",kalaviyil icchiththu irangi ninRu iru kana thanam viRkac chamaintha mangaiyar kayalkaL sivappap pari...,secondary_divine_name,0.50
Sivapara,140,https://kaumaram.com/thiru/nnt0140_u.html,ulai yavarvazhi yinpaith ...... thavirvEnOpaRiththa vizhithalai mazhuvuzhai sengaic     chezhiththa sivapara nithazhinal thumpaip          padiththa mathiyaRa laravaNi sampuk ...... kurunAthAparuththa,thavirvEnOpaRiththa vizhithalai mazhuvuzhai sengaic     chezhiththa sivapara nithazhinal thumpaip   ...,secondary_divine_name,0.50
Sivamalai,140,https://kaumaram.com/thiru/nnt0140_u.html,"lai, as a kAvadi - a rod carried on the shoulder with two weighty things at both ends - he left the Sivamalai in the place now called Pazhani where Murugan is seated - Pazhani PurANam. Thiru Arunagiri","lai, as a kAvadi - a rod carried on the shoulder with two weighty things at both ends - he left the ...",secondary_divine_name,0.60
Sivasudar,145,https://kaumaram.com/thiru/nnt0145_u.html,liyanai parivuRu sadalanai          savundha rikamuka saravaNa padhamodu ...... mayilERithazhaindha sivasudar thanaiena manadhinil     azhundha uraiseya varumuga nagaiyoLi          thazhaindha nayanam,mayilERithazhaindha sivasudar thanaiena manadhinil     azhundha uraiseya varumuga nagaiyoLi         ...,secondary_divine_name,0.50
Sivasiva,145,https://kaumaram.com/thiru/nnt0145_u.html,apari yamapuram ...... vidumvELEsirampon ayanodu munivargaL amarargaL     arambai magaLiro darahara sivasiva          seyambu venanada midupadham azhagiyar ...... gurunAthAsezhumpa vaLaoLi nagaimuka m,vidumvELEsirampon ayanodu munivargaL amarargaL     arambai magaLiro darahara sivasiva          seyam...,secondary_divine_name,0.50
Charanamum,145,https://kaumaram.com/thiru/nnt0145_u.html,anaiena manadhinil     azhundha uraiseya varumuga nagaiyoLi          thazhaindha nayanamum irumalAr charaNamum ...... maRavEnEirumbai vaguLamo diyaipala mugilpozhil     uRaindha kuyilaLi olipara vidam,anaiena manadhinil     azhundha uraiseya varumuga nagaiyoLi          thazhaindha nayanamum irumalAr ...,divine_epithet,0.30
Sivanida,146,https://kaumaram.com/thiru/nnt0146_u.html,umara saraNena          nediya mukiludal kizhiya varupari ...... mayilOnEparuthi mathikanal vizhiya sivanida     maruvu morumalai yaraiyar thirumakaL          padiva mukilena ariyi niLaiyava ...... La,mayilOnEparuthi mathikanal vizhiya sivanida     maruvu morumalai yaraiyar thirumakaL          padiva...,secondary_divine_name,0.50
Sivanidam,146,https://kaumaram.com/thiru/nnt0146_u.html,"The large cloud is pierced through by Your speeding vehicle, the Peacock!paruthi mathikanal vizhiya sivanidam maruvum: She is concorporate on the left side of the body of SivA who has three eyes, name",paruthi mathikanal vizhiya sivanidam maruvum: She is concorporate on the left side of the body of Si...,secondary_divine_name,0.50
Sivan,150,https://kaumaram.com/thiru/nnt0150_u.html,"nj sanj""; and Indra worshipped as You killed all the demons, Oh Lord!unthan thanjam thanjam thanjam sivan aruL gurupara ena munivarar paNiyum thomtham thomtham thomtham enRu oli pada nadam idu paran a",unthan thanjam thanjam thanjam sivan aruL gurupara ena munivarar paNiyum thomtham thomtham thomtham ...,secondary_divine_name,0.70
Sivanarul,150,https://kaumaram.com/thiru/nnt0150_u.html,sanjen     Roliseya makapathi thuthiseya asurarai ...... yaduvOnEunthan thanjan thanjan thanjam     sivanaruL gurupara venamuni vararpaNiyunthon thanthon thanthon thanthen     Rolipada nadamidu parana,yaduvOnEunthan thanjan thanjan thanjam     sivanaruL gurupara venamuni vararpaNiyunthon thanthon tha...,secondary_divine_name,0.50
Sivakiri,150,https://kaumaram.com/thiru/nnt0150_u.html,tharumakan munithazhal varuthaka rivarvalaangang kanjanj changam pongung     kayaniRai vaLamuRu sivakiri maruviya ...... perumALE.......... Meaning .........kunRum kunRum cheNdum kanRum padi vaLar mul,tharumakan munithazhal varuthaka rivarvalaangang kanjanj changam pongung     kayaniRai vaLamuRu siva...,secondary_divine_name,0.50
Sivagiri,150,https://kaumaram.com/thiru/nnt0150_u.html,"pongum kaya(m) niRai vaLam uRu sivakiri maruviya perumALE.: The abundant ponds in this fertile town Sivagiri (Pazhani) have their distinct mark, namely, lotus and conch; and You are seated here, Oh Gr",": The abundant ponds in this fertile town Sivagiri (Pazhani) have their distinct mark, namely, lotus...",secondary_divine_name,0.50
Charanaic,154,https://kaumaram.com/thiru/nnt0154_u.html,mvElApakalaippaR choriyath thakkaR     pathipukkat tazhalit tuththitpuramatkik kazhaiviR putpac     charanaic chut tayanaik koththippavurikkot paramark kucchaR     guruvoththup poruLaik kaRpith ......,mvElApakalaippaR choriyath thakkaR     pathipukkat tazhalit tuththitpuramatkik kazhaiviR putpac     ...,divine_epithet,0.30
Charanaththukku,154,https://kaumaram.com/thiru/nnt0154_u.html,ystal jewels;peL pasaLaith thuppuk kodi oththittu idaiyil pattaith thakaiyil thottu ukaLap pacchaic charaNaththukku iyalac chutRic chuzhal ittu: around their waist that looks like pasaLai (pot-herb) a,ystal jewels;peL pasaLaith thuppuk kodi oththittu idaiyil pattaith thakaiyil thottu ukaLap pacchaic ...,divine_epithet,0.30
Sivanar,156,https://kaumaram.com/thiru/nnt0156_u.html,udiyil varuvEL savundharika     jega mEl mey kaNda viRal ...... perumALE.......... Meaning .........sivanAr manam kuLira: Lord SivA was exhiliratedupadhEsa manthram: when You explained the Sacred Mant,sivanAr manam kuLira: Lord SivA was exhiliratedupadhEsa manthram: when You explained the Sacred Mant...,secondary_divine_name,0.70
Sivanarmanangkulira,156,https://kaumaram.com/thiru/nnt0156_u.html,திருப்புகழ் - சிவனார் மனங்குளிர - Sri AruNagirinAthar's Thiruppugazh 156 sivanArmanangkuLira pazhani - Songs of Praises and Glory of Lord Murugan - Experience the Magic of Muruga 'wikisource',திருப்புகழ் - சிவனார் மனங்குளிர - Sri AruNagirinAthar's Thiruppugazh 156 sivanArmanangkuLira pazhani...,secondary_divine_name,0.70
Sivakama,156,https://kaumaram.com/thiru/nnt0156_u.html,"ed the Sacred ManthrA (OM)iru sevi meedhilum pagarsey: into His two ears,gurunAthA: Oh Great Master!sivakAma sundhari than varabAla: You are the great son of SivagAma Sundhari (PArvathi),kandha: Oh Ka","sivakAma sundhari than varabAla: You are the great son of SivagAma Sundhari (PArvathi),kandha: Oh Ka...",secondary_divine_name,0.60
Sivagama,156,https://kaumaram.com/thiru/nnt0156_u.html,"o His two ears,gurunAthA: Oh Great Master!sivakAma sundhari than varabAla: You are the great son of SivagAma Sundhari (PArvathi),kandha: Oh Kandaswamy!nin seyalE virumbi uLam ninaiyAmal: Not intereste","sivakAma sundhari than varabAla: You are the great son of SivagAma Sundhari (PArvathi),kandha: Oh Ka...",secondary_divine_name,0.50
Shivasakthi,170,https://kaumaram.com/thiru/nnt0170_u.html,"dhu kalAdhee: You are the basis of the principles of Nadha (Lingam) and the Receptacle (Peetam) (or Shivasakthi)*,namO nama: I bow to You; I bow to YouvEdha manthra sorUpA: You are the beauty of VEdAs",dhu kalAdhee: You are the basis of the principles of Nadha (Lingam) and the Receptacle (Peetam) (or ...,divine_epithet,0.30
Sivagami,174,https://kaumaram.com/thiru/nnt0174_u.html,"he most famous and auspicious Mother, delivered all of us;santhAna siva kAmiyumai yaruLbAlA: She is SivagAmi who grants all our boons like the SanthAna Tree (wish-yielding tree); You are the son of th","he most famous and auspicious Mother, delivered all of us;santhAna siva kAmiyumai yaruLbAlA: She is ...",secondary_divine_name,0.50
Sarana,180,https://kaumaram.com/thiru/nnt0180_u.html,"he soft mountain-like bosom of that VaLLi, Oh MurugA!sinthai makizh pulavOrkaL vanthu vanthanai sey saraNa aravintha: Many saints who are exhilarated come to You and prostrate at Your lotus feet, Oh L",sinthai makizh pulavOrkaL vanthu vanthanai sey saraNa aravintha: Many saints who are exhilarated com...,divine_epithet,0.40
Sivanoru,184,https://kaumaram.com/thiru/nnt0184_u.html,zhinthidAthOsekamuzhu thokkap payantha sangari     adiyavar siththath thuRaintha samprama          sivanoru pakkath thuRaintha mangaisu ...... mangaineeduthikazhvana pacchaip pasangi yampaNa     karat,zhinthidAthOsekamuzhu thokkap payantha sangari     adiyavar siththath thuRaintha samprama          s...,secondary_divine_name,0.50
Saravanai,191,https://kaumaram.com/thiru/nnt0191_u.html,", Oh Lord!paravum punam misai uRai tharu kuRa makaL paNai koL aNi mulai muzhuku panniru puya paNila saravaNai thanil muLariyil varu murukOnE: You reached the field of millet, full of praise for VaLLi,",paravum punam misai uRai tharu kuRa makaL paNai koL aNi mulai muzhuku panniru puya paNila saravaNai ...,primary_divine_name,0.80
Sivakamas,192,https://kaumaram.com/thiru/nnt0192_u.html,"his birth and after death.pasupathisi vAkyam uNarvOnE: You have the knowledge of the meaning of all SivAkamAs (Saivite Theology)pazhanimalai veetRa ruLum vElA: You chose Mount Pazhani as Your abode, O",pasupathisi vAkyam uNarvOnE: You have the knowledge of the meaning of all SivAkamAs (Saivite Theolog...,secondary_divine_name,0.60
Sivanthidave,193,https://kaumaram.com/thiru/nnt0193_u.html,rting and dancing prostitutes?kanjan vidum chakadAsuran pada venRu kurunthinil ERi mangaiyar kaNkaL sivanthidavE kalantha aru muRaiyAlE kaNdu makizhnthu azhakAy irunthu isai koNdu: He conquered and ki,kanjan vidum chakadAsuran pada venRu kurunthinil ERi mangaiyar kaNkaL sivanthidavE kalantha aru muRa...,secondary_divine_name,0.50
Swamimalai,201,https://kaumaram.com/thiru/nnt0201_u.html,திருப்புகழ் - அவாமருவு - Sri AruNagirinAthar's Thiruppugazh 201 avAmaruvu swAmimalai - Songs of Praises and Glory of Lord Murugan - Experience the Magic of Muruga 'wikisource' referenc,திருப்புகழ் - அவாமருவு - Sri AruNagirinAthar's Thiruppugazh 201 avAmaruvu swAmimalai - Songs of Prai...,secondary_divine_name,0.50
Swamigal,201,https://kaumaram.com/thiru/nnt0201_u.html,Great One! * 'salAm' is an Urdu word meaning 'greeting' used by Moghuls whose contemporary was our SwAmigaL. Thiru Arunagirinathar's Thiruppugazh - 201 avAmaruvu - swAmimalai ... www.kaumaram.com ...T,* 'salAm' is an Urdu word meaning 'greeting' used by Moghuls whose contemporary was our SwAmigaL,secondary_divine_name,0.30
Sami,203,https://kaumaram.com/thiru/nnt0203_u.html,kANAdhu mamadhai vittAvi uya aruL     pArAy enurai vegup preethi iLaiyava          kAvEri vadakarai sAmi malai uRai ...... thambirAnE.......... Meaning .........AnAdha pirudhivip pAsa nigaLamum: The i,kANAdhu mamadhai vittAvi uya aruL     pArAy enurai vegup preethi iLaiyava          kAvEri vadakarai ...,secondary_divine_name,0.30
Sivanpu,205,https://kaumaram.com/thiru/nnt0205_u.html,adiyena viLangi yAdu ...... nadarAjanazhaluRu mirumpin mEni makizhmara kathampe NAkam     ayalaNi sivanpu rAri ...... yaruLsEyEmaruvalar kaLthiNpa NAra mudiyudal nadunga Avi     maRaliyuNa venRa vElai,nadarAjanazhaluRu mirumpin mEni makizhmara kathampe NAkam     ayalaNi sivanpu rAri,secondary_divine_name,0.50
